id,scheme_version_id,min_conversion_rate,payout_amount,sort_order
1,1,0.1000,10.00,0
2,1,0.2000,20.00,1
3,1,0.3000,30.00,2
4,1,0.4000,40.00,3
5,2,0.2500,50.00,0
6,2,0.5000,80.00,1
7,2,0.7500,120.00,2
14,5,0.1000,10.00,0
15,6,0.1500,15.00,0
16,6,0.2500,25.00,1
17,6,0.3500,35.00,2
30,10,0.1000,10.00,0
31,10,0.2000,20.00,1
32,10,0.3000,30.00,2
33,10,0.4000,40.00,3
34,11,0.1000,10.00,0
35,11,0.2000,20.00,1
36,11,0.3000,30.00,2
37,11,0.4000,40.00,3
38,12,0.1000,10.00,0
39,12,0.2000,20.00,1
40,12,0.3000,30.00,2
41,12,0.4000,40.00,3
